semana,app_id,canal,installs,compradores_unicos,total_compras,revenue_usd,arpi,ticket_promedio
2026-05-11,id1531467766,appgradear424,101714,763,763,2370.196516,0.0233025593,3.106417453
2026-05-11,id1531467766,organic,42768,452,452,1689.569531,0.03950546041,3.737985687
2026-05-11,id1531467766,lychee,66085,733,733,1549.693756,0.02345000766,2.114179749
2026-05-11,id1531467766,entravision,4987,153,153,381.9715296,0.07659344888,2.496545945
2026-05-11,id1531467766,rocket,8620,140,140,249.9921539,0.02900140997,1.785658242
2026-05-11,id1531467766,tiktokglobal_int,809,71,71,216.7923375,0.2679756953,3.053413204
2026-05-11,id1531467766,bcnagency,2065,61,61,199.5883919,0.09665297427,3.27194085
2026-05-11,id1531467766,Apple Search Ads,24815,175,175,188.4447307,0.007593984714,1.076827032
2026-05-11,id1531467766,Digital_Web_LCDLF,0,15,15,141.14185,,9.409456667
2026-05-11,id1531467766,googleadwords_int,104,64,64,104.8987911,1.008642222,1.63904361
2026-05-11,id1531467766,product_vix,3814,101,101,74.66191825,0.01957575203,0.7392269134
2026-05-11,id1531467766,dv360_int,0,3,3,8.645509731,,2.881836577
2026-05-11,com.univision.prendetv,Treble,2,0,0,,,
2026-05-11,id1531467766,crm_vix_svod_eml,0,0,0,,,
2026-05-11,com.univision.prendetv,world_cup_sports_page,2,0,0,,,
2026-05-11,id1531467766,Digital,166,3,3,,,
2026-05-11,com.univision.prendetv,Twitter_Paid,19,0,0,,,
2026-05-11,com.univision.prendetv,influencers,2,0,0,,,
2026-05-11,com.univision.prendetv,oppopaipreinstall_int,623,0,0,,,
2026-05-11,com.univision.prendetv,dv360_int,0,29,29,,,
2026-05-11,com.univision.prendetv,xiaomipai_int,319,1,1,,,
