semana,app_id,canal,installs,compradores_unicos,total_compras,revenue_usd,arpi,ticket_promedio
2026-05-11,id1531467766,appgradear424,101714,763,763,2370.196516,0.0233025593,3.106417453
2026-05-11,id1531467766,organic,42768,452,452,1689.569531,0.03950546041,3.737985687
2026-05-11,id1531467766,lychee,66085,733,733,1549.693756,0.02345000766,2.114179749
2026-05-11,id1531467766,entravision,4987,153,153,381.9715296,0.07659344888,2.496545945
2026-05-11,id1531467766,rocket,8620,140,140,249.9921539,0.02900140997,1.785658242
2026-05-11,id1531467766,tiktokglobal_int,809,71,71,216.7923375,0.2679756953,3.053413204
2026-05-11,id1531467766,bcnagency,2065,61,61,199.5883919,0.09665297427,3.27194085
2026-05-11,id1531467766,Apple Search Ads,24815,175,175,188.4447307,0.007593984714,1.076827032
2026-05-11,id1531467766,Digital_Web_LCDLF,0,15,15,141.14185,,9.409456667
2026-05-11,id1531467766,googleadwords_int,104,64,64,104.8987911,1.008642222,1.63904361
2026-05-11,id1531467766,product_vix,3814,101,101,74.66191825,0.01957575203,0.7392269134
2026-05-11,id1531467766,dv360_int,0,3,3,8.645509731,,2.881836577
2026-05-11,com.univision.prendetv,Treble,2,0,0,,,
2026-05-11,id1531467766,crm_vix_svod_eml,0,0,0,,,
2026-05-11,com.univision.prendetv,world_cup_sports_page,2,0,0,,,
2026-05-11,id1531467766,Digital,166,3,3,,,
2026-05-11,com.univision.prendetv,Twitter_Paid,19,0,0,,,
2026-05-11,com.univision.prendetv,influencers,2,0,0,,,
2026-05-11,id1531467766,Twitter_Paid,1,0,0,,,
2026-05-11,id1531467766,Digital_Promo,0,0,0,,,
2026-05-11,com.univision.prendetv,Digital_Promo,0,0,0,,,
2026-05-11,com.univision.prendetv,oppopaipreinstall_int,623,0,0,,,
2026-05-11,com.univision.prendetv,Social_facebook,6,0,0,,,
2026-05-11,id1531467766,Treble,3,0,0,,,
2026-05-11,com.univision.prendetv,QR_code_Arelys,0,0,0,,,
2026-05-11,com.univision.prendetv,Facebook_Paid,12,0,0,,,
2026-05-11,com.univision.prendetv,Digital_Web_LCDLF,0,1,1,,,
2026-05-11,id1531467766,Facebook_Paid,1,0,0,,,
2026-05-11,id1531467766,Social_instagram,2,0,0,,,
2026-05-11,com.univision.prendetv,Web_article,0,0,0,,,
2026-05-11,id1531467766,Social_YouTube_longform,1,0,0,,,
2026-05-11,com.univision.prendetv,Digital,163,0,0,,,
2026-05-11,id1531467766,Social_Univision,0,0,0,,,
2026-05-11,com.univision.prendetv,dv360_int,0,29,29,,,
2026-05-11,id1531467766,QR_code_Arelys,0,0,0,,,
2026-05-11,com.univision.prendetv,Social_Facebook_comment,0,0,0,,,
2026-05-11,com.univision.prendetv,xiaomipai_int,319,1,1,,,
2026-05-11,id1531467766,Social_Televisa,0,0,0,,,
2026-05-11,com.univision.prendetv,,0,0,0,,,
2026-05-11,com.univision.prendetv,product_vix,6971,114,114,,,
2026-05-11,com.univision.prendetv,tiktokglobal_int,11923,168,168,,,
2026-05-11,com.univision.prendetv,Social_Facebook_image,0,0,0,,,
2026-05-11,id1531467766,,0,0,0,,,
2026-05-11,com.univision.prendetv,entravision,7413,27,27,,,
2026-05-11,com.univision.prendetv,Digital_Web_Univision,0,0,0,,,
2026-05-11,com.univision.prendetv,bcnagency,5365,13,13,,,
2026-05-11,com.univision.prendetv,googleadwords_int,108262,458,458,,,
2026-05-11,com.univision.prendetv,Social_Facebook_longform,37,0,0,,,
2026-05-11,com.univision.prendetv,rocket,385,244,244,,,
2026-05-11,com.univision.prendetv,Social_tiktok,16,0,0,,,
2026-05-11,com.univision.prendetv,organic,128873,278,278,,,
2026-05-11,com.univision.prendetv,Social_instagram,4,0,0,,,
2026-05-11,com.univision.prendetv,winclap,1934,10,10,,,
2026-05-11,id1531467766,Social_Facebook_image,0,0,0,,,
2026-05-11,id1531467766,Digital_Web_Univision,0,0,0,,,
2026-05-11,id1531467766,QR_code,16,0,0,,,
2026-05-11,id1531467766,crm_vix_avod_eml,0,0,0,,,
2026-05-11,com.univision.prendetv,QR_code,94,0,0,,,
2026-05-11,id1531467766,Social_facebook,2,0,0,,,
2026-05-11,id1531467766,influencers,0,0,0,,,
2026-05-11,com.univision.prendetv,Product_vix,0,0,0,,,
2026-05-11,com.univision.prendetv,Social_YouTube_longform,2,0,0,,,
2026-05-11,com.univision.prendetv,crm_vix_svod_eml,0,0,0,,,
2026-05-11,id1531467766,Product_vix,0,0,0,,,
2026-05-11,com.univision.prendetv,crm_vix_avod_eml,0,0,0,,,
2026-05-11,id1531467766,Social_tiktok,5,0,0,,,
2026-05-11,id1531467766,Social_Facebook_longform,4,0,0,,,
2026-05-11,com.univision.prendetv,lychee,140316,574,574,,,
2026-05-11,com.univision.prendetv,TikTok_Paid,10,0,0,,,
2026-05-11,com.univision.prendetv,appgradear424,75524,232,232,,,
2026-05-11,id1531467766,TikTok_Paid,36,2,2,,,
2026-05-18,id1531467766,appgradear424,74989,437,437,1269.0901,0.01692368348,2.904096339
2026-05-18,id1531467766,lychee,130241,755,755,1191.817503,0.009150862657,1.578566229
2026-05-18,id1531467766,organic,63884,311,311,915.9295047,0.01433738502,2.945110947
2026-05-18,id1531467766,entravision,1086,48,48,160.807618,0.148073313,3.350158708
2026-05-18,id1531467766,tiktokglobal_int,630,38,38,121.565334,0.1929608476,3.199087737
2026-05-18,id1531467766,rocket,3704,53,53,117.2291606,0.0316493414,2.211870954
2026-05-18,id1531467766,bcnagency,1420,31,31,83.20153096,0.0586,2.683920354
2026-05-18,id1531467766,product_vix,3864,69,69,78.5828893,0.02033718667,1.138882454
2026-05-18,id1531467766,Apple Search Ads,28035,93,93,68.80456286,0.002454238019,0.7398340093
2026-05-18,id1531467766,googleadwords_int,89,52,52,52.14620211,0.5859123833,1.002811579
2026-05-18,id1531467766,Digital_Web_LCDLF,0,11,11,29.80588064,,2.71
2026-05-18,id1531467766,world_cup_sports_page,1,0,0,,,
2026-05-18,com.univision.prendetv,winclap,6042,9,9,,,
2026-05-18,com.univision.prendetv,QR_code,55,0,0,,,
2026-05-18,id1531467766,Treble,0,0,0,,,
2026-05-18,com.univision.prendetv,product_vix,8472,81,81,,,
2026-05-18,id1531467766,Social_Televisa,0,0,0,,,
2026-05-18,com.univision.prendetv,Treble,3,0,0,,,
2026-05-18,com.univision.prendetv,rocket,710,96,96,,,
2026-05-18,com.univision.prendetv,miqdigitaluk,7,0,0,,,
2026-05-18,id1531467766,Social_tiktok,19,0,0,,,
2026-05-18,id1531467766,Digital_Web_Univision,0,0,0,,,
2026-05-18,com.univision.prendetv,Facebook_Paid,13,0,0,,,
2026-05-18,id1531467766,dv360_int,0,1,1,,,
2026-05-18,com.univision.prendetv,crm_vix_avod_eml,0,0,0,,,
2026-05-18,com.univision.prendetv,dv360_int,0,10,10,,,
2026-05-18,com.univision.prendetv,crm_vix_engagment_vixmusica,0,0,0,,,
2026-05-18,com.univision.prendetv,,0,0,0,,,
2026-05-18,com.univision.prendetv,Digital_Promo,0,0,0,,,
2026-05-18,com.univision.prendetv,Social_facebook,42,0,0,,,
2026-05-18,id1531467766,Product_vix,0,0,0,,,
2026-05-18,id1531467766,Social_Facebook_longform,10,0,0,,,
2026-05-18,com.univision.prendetv,oppopaipreinstall_int,737,0,0,,,
2026-05-18,id1531467766,miqdigitaluk,0,0,0,,,
2026-05-18,com.univision.prendetv,Social_Facebook_comment,1,0,0,,,
2026-05-18,com.univision.prendetv,Digital_Web_LCDLF,0,0,0,,,
2026-05-18,id1531467766,Social_Univision,0,0,0,,,
2026-05-18,com.univision.prendetv,Digital,153,0,0,,,
